deepCIS_segment,Gene_ID,deepCRE_region,Gene_Genomic_Location,Internal_deepCRE_Coord
WRKY_1:7491189-7491438,AT1G21395,TSS_Window,1:7491965-7492351,225-474
WRKY_1:7508589-7508838,AT1G21450,TSS_Window,1:7508701-7511801,889-1138
WRKY_1:7529158-7529407,AT1G21500,TTS_Window,1:7529705-7531108,2298-2547
WRKY_1:7553229-7553478,AT1G21550,TSS_Window,1:7552987-7553975,1498-1500
WRKY_1:7553229-7553478,AT1G21550,TTS_Window,1:7552987-7553975,1509-1758
WRKY_1:7627766-7628015,AT1G21720,TTS_Window,1:7626182-7628290,1501-1725
WRKY_1:7627766-7628015,AT1G21722,TSS_Window,1:7628456-7629364,311-560
WRKY_1:7661304-7661553,AT1G21830,TTS_Window,1:7660947-7662725,1501-1643
WRKY_1:7813734-7813983,AT1G22130,TSS_Window,1:7812211-7814345,1363-1500
WRKY_1:7813734-7813983,AT1G22140,TTS_Window,1:7814663-7815722,2680-2929
WRKY_1:7897705-7897954,AT1G22360,TSS_Window,1:7894807-7897761,808-1057
WRKY_1:7897705-7897954,AT1G22370,TTS_Window,1:7897915-7900335,1961-2210
WRKY_1:8024095-8024344,AT1G22670,TSS_Window,1:8021835-8023516,173-422
WRKY_1:8024095-8024344,AT1G22680,TTS_Window,1:8024967-8026356,2623-2872
WRKY_1:8049090-8049339,AT1G22730,TTS_Window,1:8046073-8049039,2051-2300
WRKY_1:8212035-8212284,AT1G23160,TTS_Window,1:8209226-8211486,2549-2798
WRKY_1:8212578-8212827,AT1G23170,TSS_Window,1:8212556-8215807,1023-1272
WRKY_1:8212035-8212284,AT1G23170,TSS_Window,1:8212556-8215807,480-729
WRKY_1:8260304-8260553,AT1G23270,TSS_Window,1:8259602-8260144,592-841
WRKY_1:8260304-8260553,AT1G23280,TTS_Window,1:8260608-8262795,2055-2304
WRKY_1:8354504-8354753,AT1G23560,TSS_Window,1:8352615-8354619,867-1116
WRKY_1:8354504-8354753,AT1G23570,TTS_Window,1:8354806-8356507,2053-2302
WRKY_1:8360342-8360591,AT1G23590,TSS_Window,1:8359125-8360645,1055-1304
WRKY_1:8360342-8360591,AT1G23600,TTS_Window,1:8360978-8362485,2387-2636
WRKY_1:8368541-8368790,AT1G23640,TSS_Window,1:8366941-8368381,592-841
WRKY_1:8368541-8368790,AT1G23645,TTS_Window,1:8369097-8370340,2307-2556
WRKY_1:8537256-8537505,AT1G24140,TSS_Window,1:8535999-8537780,1276-1500
WRKY_1:8585800-8586049,AT1G24230,TSS_Window,1:8584039-8585135,87-336
WRKY_1:8585800-8586049,AT1G24240,TSS_Window,1:8586335-8588180,466-715
WRKY_1:8686138-8686387,AT1G24490,TTS_Window,1:8682195-8685271,2867-3000
WRKY_1:8846538-8846787,AT1G25240,TTS_Window,1:8845142-8846726,1812-2061
WRKY_1:8863563-8863812,AT1G25277,TTS_Window,1:8861734-8862797,2766-3000
WRKY_1:8863563-8863812,AT1G25280,TSS_Window,1:8863768-8866894,796-1045
WRKY_1:9027722-9027971,AT1G26110,TSS_Window,1:9024341-9027955,985-1234
WRKY_1:9027722-9027971,AT1G26120,TTS_Window,1:9028376-9032327,2405-2654
WRKY_1:9209492-9209741,AT1G26640,TSS_Window,1:9207383-9209902,1162-1411
WRKY_1:9209492-9209741,AT1G26650,TSS_Window,1:9210051-9211588,442-691
WRKY_1:9320986-9321235,AT1G26900,TSS_Window,1:9319643-9321512,1278-1500
WRKY_1:9320986-9321235,AT1G26910,TSS_Window,1:9321650-9323028,337-586
WRKY_1:9394782-9395031,AT1G27050,TTS_Window,1:9393653-9394716,2066-2315
WRKY_1:9481162-9481411,AT1G27290,TSS_Window,1:9481405-9482992,758-1007
WRKY_1:9516577-9516826,AT1G27400,TTS_Window,1:9515114-9517070,1507-1756
WRKY_1:9516577-9516826,AT1G27410,TSS_Window,1:9517201-9519025,377-626
WRKY_1:9544169-9544418,AT1G27470,TSS_Window,1:9540049-9544303,886-1135
WRKY_1:9544169-9544418,AT1G27480,TSS_Window,1:9544410-9546285,760-1009
WRKY_1:9608800-9609049,AT1G27610,TSS_Window,1:9606968-9607996,1-197
WRKY_1:9610929-9611178,AT1G27620,TTS_Window,1:9608153-9610566,2363-2612
WRKY_1:9610929-9611178,AT1G27630,TSS_Window,1:9611053-9614336,877-1126
WRKY_1:9775064-9775313,AT1G28040,TSS_Window,1:9773580-9775481,1169-1418
WRKY_1:9775064-9775313,AT1G28050,TTS_Window,1:9775522-9778043,2209-2458
WRKY_1:9884620-9884869,AT1G28270,TTS_Window,1:9882951-9884189,2431-2680
WRKY_1:9884620-9884869,AT1G28280,TTS_Window,1:9885400-9887478,2531-2780
WRKY_1:9939573-9939822,AT1G28340,TSS_Window,1:9939961-9943616,613-862
WRKY_1:10023437-10023686,AT1G28510,TSS_Window,1:10023817-10026311,621-870
WRKY_1:10079324-10079573,AT1G28680,TTS_Window,1:10078189-10079909,1501-1664
WRKY_1:10079324-10079573,AT1G28690,TTS_Window,1:10080042-10081604,2469-2718
WRKY_1:10102436-10102685,AT1G28760,TSS_Window,1:10103081-10104883,356-605
WRKY_1:10146600-10146849,AT1G29060,TSS_Window,1:10147605-10149780,1-245
WRKY_1:10264180-10264429,AT1G29340,TSS_Window,1:10264043-10266917,1138-1387
WRKY_1:10378611-10378860,AT1G29670,TTS_Window,1:10375599-10377871,2740-2989
WRKY_1:10378611-10378860,AT1G29680,TSS_Window,1:10377790-10378961,1102-1351
WRKY_1:10378611-10378860,AT1G29690,TTS_Window,1:10379020-10382153,2160-2409
WRKY_1:10441436-10441685,AT1G29820,TTS_Window,1:10437657-10440786,2650-2899
WRKY_1:10441436-10441685,AT1G29830,TSS_Window,1:10441053-10445657,1384-1500
WRKY_1:10455473-10455722,AT1G29860,TTS_Window,1:10454433-10455874,1599-1848
WRKY_1:10496963-10497212,AT1G29960,TTS_Window,1:10494627-10496205,2758-3000
WRKY_1:10496963-10497212,AT1G29962,TSS_Window,1:10496730-10497287,1234-1483
WRKY_1:10496963-10497212,AT1G29962,TTS_Window,1:10496730-10497287,1676-1925
WRKY_1:10824313-10824562,AT1G30550,TSS_Window,1:10822161-10823903,342-591
WRKY_1:10824313-10824562,AT1G30560,TSS_Window,1:10824637-10826405,677-926
WRKY_1:10854384-10854633,AT1G30620,TSS_Window,1:10854517-10858280,868-1117
WRKY_1:10927293-10927542,AT1G30780,TSS_Window,1:10923919-10926561,20-269
WRKY_1:11426718-11426967,AT1G31840,TTS_Window,1:11423906-11426818,1900-2149
WRKY_1:11460914-11461163,AT1G31920,TTS_Window,1:11461855-11463857,2692-2941
WRKY_1:11478980-11479229,AT1G31950,TTS_Window,1:11475623-11478548,2432-2681
WRKY_1:11478980-11479229,AT1G31960,TSS_Window,1:11479133-11479654,1426-1500
WRKY_1:11478980-11479229,AT1G31960,TTS_Window,1:11479133-11479654,1904-2153
WRKY_1:11478980-11479229,AT1G31970,TSS_Window,1:11479763-11482890,218-467
WRKY_1:11775900-11776149,AT1G32560,TTS_Window,1:11774484-11775442,2458-2707
WRKY_1:11775900-11776149,AT1G32570,TSS_Window,1:11776765-11777557,136-385
WRKY_1:11787887-11788136,AT1G32583,TTS_Window,1:11785806-11788286,1601-1850
WRKY_1:11787887-11788136,AT1G32585,TTS_Window,1:11788515-11789177,2379-2628
WRKY_1:11874732-11874981,AT1G32790,TTS_Window,1:11874508-11877549,1527-1776
WRKY_1:11880170-11880419,AT1G32810,TSS_Window,1:11881311-11886015,1-109
WRKY_1:11979335-11979584,AT1G33060,TSS_Window,1:11975307-11978622,39-288
WRKY_1:12287262-12287511,AT1G33850,TTS_Window,1:12287913-12288210,2402-2651
WRKY_1:12293187-12293436,AT1G33860,TSS_Window,1:12294394-12295305,1-43
WRKY_1:12305277-12305526,AT1G33880,TSS_Window,1:12303862-12305203,678-927
WRKY_1:12352095-12352344,AT1G33970,TSS_Window,1:12349304-12351318,1-224
WRKY_1:12370715-12370964,AT1G34020,TTS_Window,1:12366810-12370014,2701-2950
WRKY_1:12465974-12466223,AT1G34220,TSS_Window,1:12462849-12466089,867-1116
WRKY_1:12473730-12473979,AT1G34245,TTS_Window,1:12472868-12473974,1756-2005
WRKY_1:12555942-12556191,AT1G34390,TSS_Window,1:12556005-12559082,938-1187
WRKY_1:12577659-12577908,AT1G34410,TSS_Window,1:12577722-12580824,938-1187
WRKY_1:12906139-12906388,AT1G35215,TSS_Window,1:12902718-12906171,784-1033
WRKY_1:12964688-12964937,AT1G35330,TSS_Window,1:12964986-12966113,703-952
WRKY_1:13042774-13043023,AT1G35460,TTS_Window,1:13039660-13042159,2615-2864
WRKY_1:13085643-13085892,AT1G35520,TSS_Window,1:13082819-13085830,939-1188
WRKY_1:13669619-13669868,AT1G36310,TSS_Window,1:13669425-13671203,1195-1444
WRKY_1:13700955-13701204,AT1G36380,TSS_Window,1:13700765-13701632,1191-1440
WRKY_1:13700955-13701204,AT1G36380,TTS_Window,1:13700765-13701632,1501-1572
WRKY_1:13700955-13701204,AT1G36390,TTS_Window,1:13701401-13703573,2197-2446
WRKY_1:15001579-15001828,AT1G40087,TSS_Window,1:14999615-15001868,1041-1290
WRKY_1:16068252-16068501,AT1G42700,TTS_Window,1:16066931-16067592,2660-2909
WRKY_1:16673765-16674014,AT1G43950,TSS_Window,1:16672582-16673952,939-1188
WRKY_1:16896291-16896540,AT1G44750,TTS_Window,1:16892527-16896089,2202-2451
WRKY_1:16896291-16896540,AT1G44760,TTS_Window,1:16896679-16898645,2139-2388
WRKY_1:16929062-16929311,AT1G44820,TTS_Window,1:16926297-16929196,1866-2115
WRKY_1:16934871-16935120,AT1G44830,TTS_Window,1:16933699-16934568,2303-2552
WRKY_1:17199688-17199937,AT1G45976,TSS_Window,1:17199314-17200841,1375-1500
WRKY_1:17291279-17291528,AT1G47130,TSS_Window,1:17291755-17292755,525-774
WRKY_1:17320948-17321197,AT1G47250,TTS_Window,1:17319119-17321202,1746-1995
WRKY_1:17474254-17474503,AT1G47560,TTS_Window,1:17466535-17473421,2833-3000
WRKY_1:17508337-17508586,AT1G47620,TTS_Window,1:17507893-17509731,1501-1556
WRKY_1:17606693-17606942,AT1G47813,TSS_Window,1:17606558-17606818,1136-1385
WRKY_1:17606693-17606942,AT1G47813,TTS_Window,1:17606558-17606818,1875-2124
WRKY_1:17663270-17663519,AT1G47920,TTS_Window,1:17661095-17662455,2815-3000
WRKY_1:17688133-17688382,AT1G47970,TTS_Window,1:17686990-17688859,1501-1523
WRKY_1:17827374-17827623,AT1G48270,TTS_Window,1:17827953-17830420,2330-2579
WRKY_1:18034927-18035176,AT1G48750,TSS_Window,1:18035967-18036510,1-210
WRKY_1:18034927-18035176,AT1G48760,TTS_Window,1:18035967-18039405,2791-3000
WRKY_1:18166097-18166346,AT1G49100,TTS_Window,1:18166128-18170105,1782-2031
WRKY_1:18349020-18349269,AT1G49570,TTS_Window,1:18346958-18349049,1971-2220
WRKY_1:18729839-18730088,AT1G50575,TSS_Window,1:18728634-18730498,1411-1500
WRKY_1:18729839-18730088,AT1G50580,TSS_Window,1:18730759-18732238,81-330
WRKY_1:18779338-18779587,AT1G50680,TSS_Window,1:18777601-18778614,28-277
WRKY_1:18779338-18779587,AT1G50690,TSS_Window,1:18779606-18780693,733-982
WRKY_1:18784710-18784959,AT1G50700,TTS_Window,1:18781764-18784582,2128-2377
WRKY_1:18784710-18784959,AT1G50710,TTS_Window,1:18784509-18787802,1550-1799
WRKY_1:18888890-18889139,AT1G50960,TSS_Window,1:18889473-18891838,418-667
WRKY_1:18917435-18917684,AT1G51035,TSS_Window,1:18917415-18917891,1021-1270
WRKY_1:18917435-18917684,AT1G51035,TTS_Window,1:18917415-18917891,1544-1793
WRKY_1:19102590-19102839,AT1G51510,TTS_Window,1:19102791-19104933,1952-2201
WRKY_1:19225576-19225825,AT1G51805,TSS_Window,1:19220236-19225797,973-1222
WRKY_1:19349432-19349681,AT1G52030,TSS_Window,1:19345871-19349088,408-657
WRKY_1:19349432-19349681,AT1G52040,TTS_Window,1:19350314-19352791,2633-2882
WRKY_1:19358007-19358256,AT1G52060,TTS_Window,1:19358800-19360822,2544-2793
WRKY_1:19395005-19395254,AT1G52120,TTS_Window,1:19396081-19398244,2827-3000
WRKY_1:19455411-19455660,AT1G52220,TSS_Window,1:19453435-19454765,106-355
WRKY_1:19455411-19455660,AT1G52230,TTS_Window,1:19454798-19455668,1743-1992
WRKY_1:19455411-19455660,AT1G52240,TTS_Window,1:19455495-19458069,1835-2084
WRKY_1:19468872-19469121,AT1G52280,TSS_Window,1:19467815-19469586,1466-1500
WRKY_1:19468872-19469121,AT1G52290,TTS_Window,1:19469820-19472582,2699-2948
WRKY_1:19489477-19489726,AT1G52330,TTS_Window,1:19488755-19489914,1563-1812
WRKY_1:19489477-19489726,AT1G52340,TTS_Window,1:19489794-19491650,2068-2317
WRKY_1:19505284-19505533,AT1G52370,TSS_Window,1:19506356-19508934,1-178
WRKY_1:19725943-19726192,AT1G52950,TSS_Window,1:19725483-19728035,1461-1500
WRKY_1:19820881-19821130,AT1G53170,TTS_Window,1:19821337-19822399,2207-2456
WRKY_1:19910204-19910453,AT1G53366,TSS_Window,1:19909840-19909977,525-774
WRKY_1:19910204-19910453,AT1G53366,TTS_Window,1:19909840-19909977,1501-1636
WRKY_1:19910204-19910453,AT1G53370,TSS_Window,1:19910516-19911646,689-938
WRKY_1:19958068-19958317,AT1G53470,TSS_Window,1:19958380-19961827,689-938
WRKY_1:20009403-20009652,AT1G53610,TSS_Window,1:20008996-20009320,669-918
WRKY_1:20009403-20009652,AT1G53610,TTS_Window,1:20008996-20009320,1501-1593
WRKY_1:20019831-20020080,AT1G53635,TSS_Window,1:20019287-20019835,756-1005
WRKY_1:20019831-20020080,AT1G53640,TTS_Window,1:20020885-20025541,2805-3000
WRKY_1:20119500-20119749,AT1G53885,TSS_Window,1:20119506-20120480,995-1244
WRKY_1:20280683-20280932,AT1G54330,TSS_Window,1:20279507-20280952,1021-1270
WRKY_1:20420589-20420838,AT1G54710,TSS_Window,1:20416770-20421156,1319-1500
WRKY_1:20464401-20464650,AT1G54890,TTS_Window,1:20462940-20464697,1704-1953
WRKY_1:20551039-20551288,AT1G55060,TTS_Window,1:20549533-20550225,2814-3000
WRKY_1:20551039-20551288,AT1G55070,TSS_Window,1:20551452-20552633,588-837
WRKY_1:20578531-20578780,AT1G55152,TSS_Window,1:20577424-20578308,529-778
WRKY_1:20636700-20636949,AT1G55320,TTS_Window,1:20633096-20636892,1808-2057
WRKY_1:20636700-20636949,AT1G55325,TSS_Window,1:20637333-20648434,368-617
WRKY_1:20845202-20845451,AT1G55750,TSS_Window,1:20840091-20845899,1449-1500
WRKY_1:20845202-20845451,AT1G55755,TSS_Window,1:20846115-20847732,88-337
WRKY_1:21257204-21257453,AT1G56710,TTS_Window,1:21257728-21259974,2275-2524
WRKY_1:21364227-21364476,AT1G57680,TSS_Window,1:21362359-21364749,1274-1500
WRKY_1:21385167-21385416,AT1G57750,TSS_Window,1:21383812-21385709,1294-1500
WRKY_1:21392496-21392745,AT1G57765,TSS_Window,1:21393084-21394982,413-662
WRKY_1:21585216-21585465,AT1G58245,TSS_Window,1:21584252-21584524,60-309
WRKY_1:21585216-21585465,AT1G58248,TTS_Window,1:21586036-21586311,2571-2820
WRKY_1:21746306-21746555,AT1G58602,TSS_Window,1:21746354-21766048,953-1202
WRKY_1:21878680-21878929,AT1G59550,TTS_Window,1:21879649-21880788,2720-2969
WRKY_1:21931164-21931413,AT1G59670,TTS_Window,1:21930010-21931366,1798-2047
WRKY_1:21931164-21931413,AT1G59675,TTS_Window,1:21931833-21932403,2420-2669
