gene_name,target_start,target_end
AT1G51805,1082,1111
AT1G52030,517,546
AT1G52040,2762,2791
AT1G52060,2673,2702
AT1G52120,2956,2985
AT1G52220,215,244
AT1G52230,1872,1901
AT1G52240,1964,1993
AT1G52290,2828,2857
AT1G52330,1692,1721
AT1G52340,2197,2226
AT1G52370,38,67
AT1G53170,2336,2365
AT1G53366,634,663
AT1G53370,798,827
AT1G53470,798,827
AT1G53610,778,807
AT1G53635,865,894
AT1G53640,2934,2963
AT1G53885,1104,1133
AT1G54330,1130,1159
AT1G54710,1428,1457
AT1G54890,1833,1862
AT1G55060,2943,2972
AT1G55070,697,726
AT1G55152,638,667
AT1G55320,1937,1966
AT1G55325,477,506
AT1G55755,197,226
AT1G56710,2404,2433
AT1G57680,1383,1412
AT1G57750,1403,1432
AT1G57765,522,551
AT1G58245,169,198
AT1G58248,2700,2729
AT1G58602,1062,1091
AT1G59550,2849,2878
AT1G59670,1927,1956
AT1G59675,2549,2578
AT1G59730,2829,2858
AT1G59865,74,103
AT1G59870,771,800
AT1G59910,2644,2673
AT1G60650,2747,2776
AT1G60660,1175,1204
AT1G60670,480,509
AT1G62250,556,585
AT1G62260,1621,1650
AT1G62262,1021,1050
AT1G62422,1281,1310
AT1G62660,493,522
AT1G62840,1133,1162
AT1G62850,2144,2173
AT1G62915,755,784
AT1G62920,1190,1219
AT1G63410,1399,1428
AT1G63830,1908,1937
AT1G64140,1300,1329
AT1G64380,898,927
AT1G64890,112,141
AT1G64920,630,659
AT1G65000,2951,2980
AT1G65240,2538,2567
AT1G66210,1732,1761
AT1G66235,1610,1639
AT1G66240,1999,2028
AT1G66370,2609,2638
AT1G66430,2556,2585
AT1G66440,237,266
AT1G66590,2197,2226
AT1G67235,2583,2612
AT1G67310,551,580
AT1G67410,2938,2967
AT1G67440,2539,2568
AT1G67455,1827,1856
AT1G67460,2135,2164
AT1G67540,744,773
AT1G67550,1049,1078
AT1G67635,2325,2354
AT1G67880,2799,2828
AT1G67960,164,193
AT1G68140,2178,2207
AT1G68370,951,980
AT1G68526,816,845
AT1G68530,1870,1899
AT1G68580,665,694
AT1G68750,915,944
AT1G68760,2860,2889
AT1G68760,313,342
AT1G68765,1098,1127
AT1G68870,2626,2655
AT1G69190,2736,2765
AT1G69700,708,737
AT1G69860,2675,2704
AT1G70260,1321,1350
AT1G70500,864,893
AT1G70620,2428,2457
AT1G70630,1401,1430
AT1G70660,713,742
AT1G71420,2817,2846
AT1G72250,1528,1557
AT1G72260,2458,2487
AT1G72710,1674,1703
AT1G72720,2287,2316
AT1G72940,2559,2588
AT1G72950,984,1013
AT1G72970,409,438
AT1G73020,2659,2688
AT1G73180,2660,2689
AT1G73190,1407,1436
AT1G73200,2682,2711
AT1G73650,967,996
AT1G73655,2029,2058
AT1G75900,2352,2381
AT1G75910,1153,1182
AT1G75980,841,870
AT1G75980,1661,1690
AT1G75990,1846,1875
AT1G76065,413,442
AT1G76070,884,913
AT1G76150,1381,1410
AT1G76160,2542,2571
AT1G76370,582,611
AT1G76380,2093,2122
AT1G77330,793,822
AT1G77340,2382,2411
AT1G78440,497,526
AT1G78476,1966,1995
AT1G78480,1103,1132
AT1G78490,370,399
AT1G78660,1893,1922
AT1G78922,1792,1821
AT1G78930,2941,2970
AT1G79010,587,616
AT1G79020,1622,1651
AT1G79030,872,901
AT1G79050,838,867
AT1G79780,2926,2955
AT1G79790,1442,1471
AT1G79800,273,302
AT1G79990,1985,2014
AT1G80000,398,427
AT1G80410,15,44
AT1G80920,455,484
AT1G80930,2100,2129
