file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
9_Zm00001eb386820_gene:98122331-98123000_260121_131319_901595,9_Zm00001eb386820_gene:98122331-98123000_260121_131319_901595,8,4.0,4.0,14,5,1723:5;1694:5;1798:4
2_Zm00001eb070510_gene:9877377-9881780_260121_131142_748160,2_Zm00001eb070510_gene:9877377-9881780_260121_131142_748160,4,1.5,1.5,4,2,533:2;1164:2;146:1
1_Zm00001eb054100_gene:271099919-271102956_260121_131051_767540,1_Zm00001eb054100_gene:271099919-271102956_260121_131051_767540,5,2.0,2.0,5,3,1195:3;2878:3;1520:2
3_Zm00001eb127980_gene:38168137-38168941_260121_131149_555144,3_Zm00001eb127980_gene:38168137-38168941_260121_131149_555144,7,3.5714285714285716,3.0,16,4,1307:4;1034:2;1732:2
6_Zm00001eb290990_gene:166342427-166341276_260121_131232_012226,6_Zm00001eb290990_gene:166342427-166341276_260121_131232_012226,5,2.2,2.0,8,3,1104:3;1565:2;709:1
10_Zm00001eb414910_gene:73564824-73566176_260121_131125_434337,10_Zm00001eb414910_gene:73564824-73566176_260121_131125_434337,4,1.5,1.5,5,2,1426:2;1285:1;1547:1
7_Zm00001eb298790_gene:2369631-2371252_260121_131256_424285,7_Zm00001eb298790_gene:2369631-2371252_260121_131256_424285,7,3.0,3.0,12,3,290:3;888:3;1121:3
scaf_114_Zm00001eb437610_gene:87437-91199_260121_131336_159602,scaf_114_Zm00001eb437610_gene:87437-91199_260121_131336_159602,5,2.0,2.0,6,2,433:2;1303:2;1941:2
5_Zm00001eb240160_gene:159176872-159167469_260121_131222_067971,5_Zm00001eb240160_gene:159176872-159167469_260121_131222_067971,8,4.625,3.5,16,5,1055:5;1369:5;1471:4
1_Zm00001eb052700_gene:265550186-265547550_260121_131044_666273,1_Zm00001eb052700_gene:265550186-265547550_260121_131044_666273,6,2.8333333333333335,2.5,12,2,1304:2;1430:2;1549:2
4_Zm00001eb184450_gene:141150768-141143816_260121_131216_686911,4_Zm00001eb184450_gene:141150768-141143816_260121_131216_686911,5,2.0,2.0,7,3,1250:3;1024:2;60:1
2_Zm00001eb075710_gene:24842101-24840278_260121_131129_931283,2_Zm00001eb075710_gene:24842101-24840278_260121_131129_931283,4,1.5,1.5,5,2,1575:2;1393:1;2209:1
6_Zm00001eb261480_gene:12602917-12605884_260121_131238_042275,6_Zm00001eb261480_gene:12602917-12605884_260121_131238_042275,3,1.0,1.0,3,1,1184:1;1588:1;1076:1
2_Zm00001eb082430_gene:50788572-50787160_260121_131132_896263,2_Zm00001eb082430_gene:50788572-50787160_260121_131132_896263,3,1.6666666666666667,1.0,5,1,852:1;1161:1;1266:1
7_Zm00001eb321110_gene:153819173-153820003_260121_131257_748580,7_Zm00001eb321110_gene:153819173-153820003_260121_131257_748580,7,3.4285714285714284,3.0,14,6,1194:6;185:4;1650:2
1_Zm00001eb023950_gene:96544606-96540917_260121_131044_504335,1_Zm00001eb023950_gene:96544606-96540917_260121_131044_504335,5,2.0,2.0,8,3,1114:3;949:1;1314:1
1_Zm00001eb016640_gene:58790622-58805167_260121_131055_345905,1_Zm00001eb016640_gene:58790622-58805167_260121_131055_345905,4,1.5,1.5,6,1,1122:1;1431:1;2328:1
6_Zm00001eb264880_gene:31422627-31418213_260121_131240_440691,6_Zm00001eb264880_gene:31422627-31418213_260121_131240_440691,4,1.5,1.5,6,1,1187:1;1239:1;2201:1
4_Zm00001eb174050_gene:40907305-40901229_260121_131201_476167,4_Zm00001eb174050_gene:40907305-40901229_260121_131201_476167,7,3.142857142857143,3.0,19,2,1102:2;928:2;1543:2
1_Zm00001eb030330_gene:167063933-167069025_260121_131106_135906,1_Zm00001eb030330_gene:167063933-167069025_260121_131106_135906,6,2.6666666666666665,2.5,10,3,2682:3;472:2;601:2
6_Zm00001eb273970_gene:101489682-101489079_260121_131231_763249,6_Zm00001eb273970_gene:101489682-101489079_260121_131231_763249,4,1.75,1.5,6,2,1126:2;984:1;1851:1
1_Zm00001eb056160_gene:279299032-279297394_260121_131044_720154,1_Zm00001eb056160_gene:279299032-279297394_260121_131044_720154,4,1.5,1.5,5,2,927:2;960:1;1184:1
2_Zm00001eb080580_gene:43250938-43248223_260121_131136_914803,2_Zm00001eb080580_gene:43250938-43248223_260121_131136_914803,3,1.0,1.0,2,2,1270:2;1073:1
9_Zm00001eb402310_gene:157734775-157739869_260121_131325_588065,9_Zm00001eb402310_gene:157734775-157739869_260121_131325_588065,3,1.0,1.0,2,2,1282:2;1658:1
2_Zm00001eb117690_gene:241361253-241363418_260121_131144_841975,2_Zm00001eb117690_gene:241361253-241363418_260121_131144_841975,7,3.142857142857143,3.0,18,4,1191:4;2838:2;134:1
8_Zm00001eb344240_gene:73998164-73997215_260121_131304_628540,8_Zm00001eb344240_gene:73998164-73997215_260121_131304_628540,4,1.5,1.5,5,2,1302:2;1044:1;1202:1
8_Zm00001eb366650_gene:172906240-172903924_260121_131308_605079,8_Zm00001eb366650_gene:172906240-172903924_260121_131308_605079,6,2.6666666666666665,2.5,8,5,1187:5;981:4;212:2
5_Zm00001eb210790_gene:1365174-1371616_260121_131224_231921,5_Zm00001eb210790_gene:1365174-1371616_260121_131224_231921,5,2.0,2.0,6,3,1228:3;1831:3;370:1
1_Zm00001eb051900_gene:263002045-263008387_260121_131058_705154,1_Zm00001eb051900_gene:263002045-263008387_260121_131058_705154,5,2.0,2.0,9,2,1604:2;1163:1;2461:1
4_Zm00001eb167060_gene:6913147-6911220_260121_131216_536356,4_Zm00001eb167060_gene:6913147-6911220_260121_131216_536356,6,3.3333333333333335,2.5,16,2,2650:2;830:2;1079:2
9_Zm00001eb373360_gene:9745306-9745651_260121_131322_169358,9_Zm00001eb373360_gene:9745306-9745651_260121_131322_169358,5,2.8,2.0,7,4,1856:4;1100:2;1142:2
6_Zm00001eb284740_gene:145531674-145525276_260121_131244_081049,6_Zm00001eb284740_gene:145531674-145525276_260121_131244_081049,3,1.3333333333333333,1.0,4,1,1022:1;1568:1;1767:1
6_Zm00001eb266790_gene:45514691-45515306_260121_131238_872020,6_Zm00001eb266790_gene:45514691-45515306_260121_131238_872020,6,2.6666666666666665,2.5,13,3,2817:3;1207:2;18:1
6_Zm00001eb266960_gene:46828842-46830572_260121_131248_123687,6_Zm00001eb266960_gene:46828842-46830572_260121_131248_123687,4,2.0,1.5,7,2,1532:2;622:1;680:1
9_Zm00001eb375020_gene:15885539-15884866_260121_131320_570076,9_Zm00001eb375020_gene:15885539-15884866_260121_131320_570076,5,2.0,2.0,8,3,1167:3;704:1;1149:1
4_Zm00001eb202570_gene:222112764-222115449_260121_131208_323848,4_Zm00001eb202570_gene:222112764-222115449_260121_131208_323848,6,3.5,2.5,11,3,2705:3;171:2;381:2
1_Zm00001eb005450_gene:15194902-15196258_260121_131103_539152,1_Zm00001eb005450_gene:15194902-15196258_260121_131103_539152,5,2.8,2.0,10,3,1560:3;1452:2;1541:2
6_Zm00001eb294870_gene:174168436-174169179_260121_131236_930460,6_Zm00001eb294870_gene:174168436-174169179_260121_131236_930460,7,3.0,3.0,9,4,456:4;1078:4;1853:3
5_Zm00001eb223490_gene:37506987-37494541_260121_131224_739651,5_Zm00001eb223490_gene:37506987-37494541_260121_131224_739651,4,1.75,1.5,5,3,1191:3;325:1;1694:1
1_Zm00001eb039880_gene:210953321-210952356_260121_131051_781139,1_Zm00001eb039880_gene:210953321-210952356_260121_131051_781139,6,2.5,2.5,9,5,2667:5;2610:2;1235:2
3_Zm00001eb139490_gene:144576485-144590871_260121_131152_421622,3_Zm00001eb139490_gene:144576485-144590871_260121_131152_421622,5,2.0,2.0,4,4,1195:4;2427:3;1169:2
8_Zm00001eb351080_gene:117872588-117868988_260121_131312_541798,8_Zm00001eb351080_gene:117872588-117868988_260121_131312_541798,5,2.0,2.0,5,3,1237:3;1311:3;1136:2
6_Zm00001eb262400_gene:17495185-17490785_260121_131246_913763,6_Zm00001eb262400_gene:17495185-17490785_260121_131246_913763,6,2.8333333333333335,2.5,12,5,1936:5;630:2;156:1
7_Zm00001eb326910_gene:172867159-172867622_260121_131251_657777,7_Zm00001eb326910_gene:172867159-172867622_260121_131251_657777,4,1.5,1.5,3,3,1087:3;1793:2;2506:1
6_Zm00001eb271400_gene:88113437-88113169_260121_131244_168767,6_Zm00001eb271400_gene:88113437-88113169_260121_131244_168767,7,3.0,3.0,12,5,1018:5;791:4;2053:2
9_Zm00001eb378890_gene:27837365-27838716_260121_131332_721996,9_Zm00001eb378890_gene:27837365-27838716_260121_131332_721996,6,2.5,2.5,8,3,1046:3;1137:2;1219:2
6_Zm00001eb281320_gene:132086562-132086085_260121_131230_730555,6_Zm00001eb281320_gene:132086562-132086085_260121_131230_730555,5,2.0,2.0,9,2,1191:2;1103:1;1136:1
9_Zm00001eb397320_gene:144850322-144855849_260121_131329_757031,9_Zm00001eb397320_gene:144850322-144855849_260121_131329_757031,5,2.0,2.0,7,2,849:2;1150:2;2109:2
10_Zm00001eb433670_gene:150371812-150367842_260121_131122_741873,10_Zm00001eb433670_gene:150371812-150367842_260121_131122_741873,4,1.5,1.5,5,2,1457:2;1358:1;1640:1
4_Zm00001eb203480_gene:228317872-228318240_260121_131200_413618,4_Zm00001eb203480_gene:228317872-228318240_260121_131200_413618,5,2.0,2.0,5,4,946:4;2010:2;2276:2
3_Zm00001eb145360_gene:174689294-174688377_260121_131149_112479,3_Zm00001eb145360_gene:174689294-174688377_260121_131149_112479,6,2.5,2.5,6,5,919:5;1082:4;584:2
10_Zm00001eb421930_gene:116703177-116706315_260121_131119_140804,10_Zm00001eb421930_gene:116703177-116706315_260121_131119_140804,5,2.4,2.0,7,2,1319:2;1764:2;1826:2
8_Zm00001eb336560_gene:17448827-17446356_260121_131315_198282,8_Zm00001eb336560_gene:17448827-17446356_260121_131315_198282,7,3.5714285714285716,4.0,18,3,760:3;183:2;530:2
8_Zm00001eb368640_gene:176586254-176583214_260121_131311_673605,8_Zm00001eb368640_gene:176586254-176583214_260121_131311_673605,5,2.6,2.0,9,4,1144:4;1648:2;509:1
4_Zm00001eb184580_gene:142574496-142573917_260121_131215_110100,4_Zm00001eb184580_gene:142574496-142573917_260121_131215_110100,6,2.6666666666666665,2.5,8,4,1220:4;305:3;959:3
4_Zm00001eb208550_gene:247111322-247111058_260121_131210_130620,4_Zm00001eb208550_gene:247111322-247111058_260121_131210_130620,6,2.8333333333333335,2.5,10,3,825:3;1962:3;461:2
10_Zm00001eb419010_gene:97910770-97908755_260121_131121_238876,10_Zm00001eb419010_gene:97910770-97908755_260121_131121_238876,4,2.0,1.5,8,1,789:1;1219:1;1238:1
scaf_398_Zm00001eb441520_gene:26000-29975_260121_131340_647890,scaf_398_Zm00001eb441520_gene:26000-29975_260121_131340_647890,4,1.5,1.5,5,2,1437:2;1837:1;1964:1
8_Zm00001eb342880_gene:66309690-66312445_260121_131304_893835,8_Zm00001eb342880_gene:66309690-66312445_260121_131304_893835,3,2.0,1.0,6,1,756:1;958:1;970:1
10_Zm00001eb419060_gene:98307625-98308866_260121_131127_212274,10_Zm00001eb419060_gene:98307625-98308866_260121_131127_212274,6,3.5,3.0,14,3,1207:3;266:2;393:2
1_Zm00001eb027720_gene:140973273-140967581_260121_131058_425815,1_Zm00001eb027720_gene:140973273-140967581_260121_131058_425815,5,2.8,2.0,13,2,1291:2;659:1;1158:1
7_Zm00001eb301180_gene:9508066-9507628_260121_131254_218584,7_Zm00001eb301180_gene:9508066-9507628_260121_131254_218584,4,2.0,1.5,6,3,1056:3;431:1;1838:1
7_Zm00001eb310510_gene:99189382-99188939_260121_131250_754191,7_Zm00001eb310510_gene:99189382-99188939_260121_131250_754191,5,2.2,2.0,9,2,798:2;1843:2;773:1
9_Zm00001eb397020_gene:143827986-143847918_260121_131334_352071,9_Zm00001eb397020_gene:143827986-143847918_260121_131334_352071,5,2.0,2.0,4,4,1269:4;1286:3;745:2
1_Zm00001eb056780_gene:281517778-281521970_260121_131044_649906,1_Zm00001eb056780_gene:281517778-281521970_260121_131044_649906,6,3.3333333333333335,2.5,12,2,952:2;1126:2;1177:2
1_Zm00001eb054110_gene:271105209-271108173_260121_131049_736087,1_Zm00001eb054110_gene:271105209-271108173_260121_131049_736087,7,3.0,3.0,9,5,1233:5;1179:4;1483:4
2_Zm00001eb094040_gene:156950830-156948039_260121_131128_918617,2_Zm00001eb094040_gene:156950830-156948039_260121_131128_918617,4,1.75,1.5,4,3,1576:3;1299:2;997:1
10_Zm00001eb408100_gene:10249260-10254317_260121_131120_797210,10_Zm00001eb408100_gene:10249260-10254317_260121_131120_797210,9,4.666666666666667,4.0,18,5,611:5;1318:5;1706:5
4_Zm00001eb181410_gene:111283533-111284982_260121_131203_695941,4_Zm00001eb181410_gene:111283533-111284982_260121_131203_695941,5,2.0,2.0,7,2,1472:2;1799:2;2451:2
3_Zm00001eb158360_gene:219797033-219806504_260121_131154_409383,3_Zm00001eb158360_gene:219797033-219806504_260121_131154_409383,4,1.5,1.5,4,3,1140:3;1224:1;1675:1
4_Zm00001eb175560_gene:50153761-50148375_260121_131208_598678,4_Zm00001eb175560_gene:50153761-50148375_260121_131208_598678,5,2.0,2.0,6,4,1135:4;1678:2;1216:1
6_Zm00001eb271000_gene:84325957-84326421_260121_131229_511365,6_Zm00001eb271000_gene:84325957-84326421_260121_131229_511365,6,2.5,2.5,10,4,1157:4;2351:2;2775:2
9_Zm00001eb403070_gene:158933007-158950363_260121_131318_945941,9_Zm00001eb403070_gene:158933007-158950363_260121_131318_945941,4,1.5,1.5,4,2,1214:2;886:2;1296:1
2_Zm00001eb071230_gene:11386081-11383455_260121_131136_669284,2_Zm00001eb071230_gene:11386081-11383455_260121_131136_669284,7,3.857142857142857,3.0,18,3,2436:3;635:3;2295:2
8_Zm00001eb359030_gene:149935019-149936675_260121_131305_252211,8_Zm00001eb359030_gene:149935019-149936675_260121_131305_252211,5,2.0,2.0,5,4,1247:4;2341:2;1550:2
3_Zm00001eb150760_gene:193518324-193530789_260121_131147_395381,3_Zm00001eb150760_gene:193518324-193530789_260121_131147_395381,6,2.8333333333333335,2.5,10,2,1005:2;1170:2;1363:2
8_Zm00001eb356980_gene:142174240-142169595_260121_131312_674272,8_Zm00001eb356980_gene:142174240-142169595_260121_131312_674272,4,2.5,2.0,9,2,1191:2;359:1;557:1
1_Zm00001eb027490_gene:133530446-133531442_260121_131056_997209,1_Zm00001eb027490_gene:133530446-133531442_260121_131056_997209,8,3.5,3.5,13,5,2854:5;2901:5;1457:4
3_Zm00001eb163570_gene:235932374-235929673_260121_131156_839613,3_Zm00001eb163570_gene:235932374-235929673_260121_131156_839613,5,2.4,2.0,11,2,1034:2;328:1;857:1
8_Zm00001eb363020_gene:164672544-164668894_260121_131258_636270,8_Zm00001eb363020_gene:164672544-164668894_260121_131258_636270,4,1.5,1.5,6,1,748:1;1059:1;1617:1
1_Zm00001eb001640_gene:4856665-4854127_260121_131050_975558,1_Zm00001eb001640_gene:4856665-4854127_260121_131050_975558,3,1.0,1.0,2,2,1381:2;1583:1
1_Zm00001eb020350_gene:75394151-75390295_260121_131105_622060,1_Zm00001eb020350_gene:75394151-75390295_260121_131105_622060,4,2.75,1.5,10,2,1242:2;41:1;1019:1
