site_id,gene_id,strand,region,start,end,additional_padding
bHLH_1:3019771-3020020,AT1G09350,+,promoter,1133,1383,0
bHLH_1:24841607-24841856,AT1G66580,+,terminator,2821,3020,0
bHLH_1:1713548-1713797,AT1G05700,+,terminator,2094,2344,0
bHLH_1:1713548-1713797,AT1G04407,-,promoter,942,1131,738
bHLH_1:1713548-1713797,AT1G04407,-,terminator,1889,1950,738
bHLH_1:7534434-7534683,AT1G21520,-,promoter,1243,1455,91
bHLH_1:7534434-7534683,AT1G21520,-,terminator,1566,1604,91
bHLH_1:25374058-25374307,AT1G67700,+,promoter,987,1237,0
bHLH_1:25374058-25374307,AT1G67690,+,terminator,2101,2351,0
bHLH_1:11370737-11370986,AT1G31740,-,promoter,0,102,0
bHLH_1:11370737-11370986,AT1G31750,-,terminator,1617,1867,0
bHLH_1:4394359-4394608,AT1G12900,-,promoter,845,1095,0
bHLH_1:4394359-4394608,AT1G12910,-,terminator,2307,2557,0
bHLH_1:9844333-9844582,AT1G28180,-,promoter,978,1228,0
bHLH_1:15895532-15895781,AT1G42440,-,terminator,1520,1684,0
bHLH_1:15895532-15895781,AT1G42430,+,terminator,2976,3020,0
bHLH_1:12692476-12692725,AT1G34650,+,promoter,482,732,0
bHLH_1:18861198-18861447,AT1G50880,+,promoter,1362,1500,0
bHLH_1:18861198-18861447,AT1G50890,-,terminator,2725,2975,0
bHLH_1:17344885-17345134,AT1G47310,+,terminator,2077,2327,0
bHLH_1:1436864-1437113,AT1G05030,-,terminator,2953,3020,0
bHLH_1:3031678-3031927,AT1G04697,-,promoter,1211,1322,357
bHLH_1:3031678-3031927,AT1G04697,-,terminator,1699,1838,357
bHLH_1:21243678-21243927,AT1G56670,+,terminator,1520,1741,0
bHLH_1:18230743-18230992,AT1G49270,-,promoter,337,587,0
bHLH_1:18230743-18230992,AT1G49280,-,promoter,559,809,926
bHLH_1:7997009-7997258,AT1G22610,+,terminator,1520,1691,0
bHLH_1:27074582-27074831,AT1G71930,+,promoter,881,1131,0
bHLH_1:27074582-27074831,AT1G09283,-,promoter,0,127,560
bHLH_1:27074582-27074831,AT1G09277,+,terminator,2998,3020,626
bHLH_1:10081845-10082094,AT1G28695,-,terminator,1795,2045,0
bHLH_1:10081845-10082094,AT1G28690,-,promoter,509,759,0
bHLH_1:9715838-9716087,AT1G27890,-,promoter,88,338,0
bHLH_1:9715838-9716087,AT1G27900,-,terminator,1520,1523,0
bHLH_1:30351686-30351935,AT1G80760,-,promoter,1272,1500,0
bHLH_1:23229389-23229638,AT1G62720,+,terminator,2259,2509,0
bHLH_1:23229389-23229638,AT1G62730,-,terminator,1520,1689,0
bHLH_1:23229389-23229638,AT1G08557,-,promoter,0,6,705
bHLH_1:11037062-11037311,AT1G30950,+,terminator,1574,1824,0
bHLH_1:11037062-11037311,AT1G30960,-,terminator,2259,2509,0
bHLH_1:6994578-6994827,AT1G20160,-,promoter,161,411,0
bHLH_1:6994578-6994827,AT1G20170,-,terminator,2473,2723,928
bHLH_1:6375857-6376106,AT1G18540,-,terminator,2551,2801,0
bHLH_1:6375857-6376106,AT1G18520,+,terminator,1544,1794,0
bHLH_1:6375857-6376106,AT1G18530,+,promoter,235,485,366
bHLH_1:22492035-22492284,AT1G61070,-,promoter,1257,1426,149
bHLH_1:22492035-22492284,AT1G61070,-,terminator,1595,1676,149
bHLH_1:22492035-22492284,AT1G61080,-,terminator,2612,2862,0
bHLH_1:22492035-22492284,AT1G61065,-,promoter,254,504,0
bHLH_1:4677318-4677567,AT1G13635,+,terminator,2854,3020,0
bHLH_1:4677318-4677567,AT1G13640,-,terminator,1520,1705,0
bHLH_1:16680132-16680381,AT1G43970,+,promoter,0,114,0
bHLH_1:1400424-1400673,AT1G04940,+,terminator,1614,1864,0
bHLH_1:3069173-3069422,AT1G09510,+,promoter,817,1067,0
bHLH_1:3069173-3069422,AT1G09500,+,terminator,2397,2647,0
bHLH_1:27794018-27794267,AT1G73930,-,terminator,2791,3020,0
bHLH_1:29875280-29875529,AT1G79420,+,terminator,2971,3020,0
bHLH_1:6555854-6556103,AT1G18970,-,promoter,506,756,0
bHLH_1:4936560-4936809,AT1G14430,+,terminator,2386,2636,0
bHLH_1:21940841-21941090,AT1G59710,+,terminator,2677,2927,0
bHLH_1:7934882-7935131,AT1G22480,-,promoter,1250,1500,0
bHLH_1:7039604-7039853,AT1G20330,-,promoter,1377,1500,0
bHLH_1:20393487-20393736,AT1G54590,-,promoter,766,1016,0
bHLH_1:20393487-20393736,AT1G54610,-,terminator,1946,2196,0
bHLH_1:19673542-19673791,AT1G52830,-,promoter,860,1110,0
bHLH_1:4264485-4264734,AT1G12500,-,promoter,1421,1500,0
bHLH_1:29359279-29359528,AT1G78070,+,terminator,2267,2517,0
bHLH_1:8016951-8017200,AT1G22660,+,promoter,671,921,0
bHLH_1:8016951-8017200,AT1G22650,-,promoter,0,199,0
bHLH_1:5671409-5671658,AT1G16560,+,terminator,2721,2971,0
bHLH_1:2846434-2846683,AT1G08880,-,terminator,2229,2479,0
bHLH_1:2846434-2846683,AT1G08860,+,terminator,2104,2354,0
bHLH_1:2846434-2846683,AT1G08870,-,promoter,924,1037,927
bHLH_1:2846434-2846683,AT1G08870,-,terminator,1984,2121,927
bHLH_1:10378285-10378534,AT1G29670,+,terminator,2434,2684,0
bHLH_1:10378285-10378534,AT1G29680,-,promoter,1426,1500,0
bHLH_1:10378285-10378534,AT1G29680,-,terminator,1520,1524,0
bHLH_1:10378285-10378534,AT1G29690,-,terminator,2504,2754,0
bHLH_1:25646870-25647119,AT1G08987,+,promoter,548,798,926
bHLH_1:3665866-3666115,AT1G10960,+,terminator,2846,3020,146
bHLH_1:30354658-30354907,AT1G80770,+,promoter,634,884,0
bHLH_1:29972535-29972784,AT1G79640,-,promoter,0,105,0
bHLH_1:9813392-9813641,AT1G28120,-,terminator,1520,1557,0
bHLH_1:813195-813444,AT1G03300,-,promoter,641,891,0
bHLH_1:813195-813444,AT1G03310,+,promoter,783,1033,0
bHLH_1:813195-813444,AT1G03290,+,terminator,1999,2249,0
bHLH_1:6554893-6555142,AT1G18970,-,promoter,1467,1500,0
bHLH_1:6554893-6555142,AT1G18970,-,terminator,1520,1622,0
bHLH_1:6554893-6555142,AT1G18960,+,terminator,2877,3020,0
bHLH_1:6554893-6555142,AT1G18975,+,promoter,1211,1461,0
bHLH_1:25701681-25701930,AT1G68500,+,promoter,912,1162,0
bHLH_1:5173352-5173601,AT1G15015,+,terminator,2449,2699,157
bHLH_1:9539246-9539495,AT1G27461,-,promoter,531,781,0
bHLH_1:9539246-9539495,AT1G27470,-,terminator,2572,2822,0
bHLH_1:5380787-5381036,AT1G15640,+,terminator,2568,2818,0
bHLH_1:5380787-5381036,AT1G15660,+,promoter,756,1006,0
bHLH_1:5380787-5381036,AT1G15650,+,promoter,881,1041,918
bHLH_1:5380787-5381036,AT1G15650,+,terminator,1979,2069,918
bHLH_1:12576356-12576605,AT1G34403,-,promoter,567,817,718
bHLH_1:3392230-3392479,AT1G10340,-,promoter,1153,1403,0
bHLH_1:3392230-3392479,AT1G10350,-,terminator,2482,2732,0
bHLH_1:4379440-4379689,AT1G12845,-,promoter,917,1167,224
bHLH_1:4379440-4379689,AT1G12840,+,terminator,2946,3020,0
bHLH_1:4379440-4379689,AT1G12850,-,terminator,2023,2273,0
bHLH_1:23534909-23535158,AT1G63460,+,promoter,964,1214,0
bHLH_1:23534909-23535158,AT1G63450,+,terminator,2360,2610,0
bHLH_1:3136490-3136739,AT1G09690,-,terminator,1520,1717,0
bHLH_1:3136490-3136739,AT1G09680,-,promoter,236,486,0
bHLH_1:3136490-3136739,AT1G09700,-,terminator,2928,3020,0
bHLH_1:402707-402956,AT1G02130,-,promoter,0,212,0
bHLH_1:402707-402956,AT1G02140,-,terminator,2162,2412,0
bHLH_1:402707-402956,AT1G04087,+,terminator,2433,2683,791
bHLH_1:1564372-1564621,AT1G05350,-,promoter,787,1037,0
bHLH_1:1564372-1564621,AT1G05360,+,promoter,882,1132,0
bHLH_1:3177500-3177749,AT1G09795,+,terminator,2610,2860,0
bHLH_1:20701633-20701882,AT1G55440,-,terminator,1520,1749,0
bHLH_1:2527360-2527609,AT1G08100,-,terminator,1579,1829,0
bHLH_1:3093242-3093491,AT1G09550,-,promoter,0,85,0
bHLH_1:3093242-3093491,AT1G09560,+,promoter,599,849,0
bHLH_1:15976292-15976541,AT1G42540,+,terminator,1520,1749,0
bHLH_1:15976292-15976541,AT1G42550,+,promoter,488,738,0
bHLH_1:27340443-27340692,AT1G72600,+,terminator,2135,2385,0
bHLH_1:27340443-27340692,AT1G72620,+,promoter,423,673,0
bHLH_1:27340443-27340692,AT1G72610,-,promoter,351,601,69
bHLH_1:19480211-19480460,AT1G52315,+,promoter,166,416,0
bHLH_1:821536-821785,AT1G03350,-,terminator,2815,3020,0
bHLH_1:821536-821785,AT1G03340,+,terminator,2080,2330,0
bHLH_1:9376729-9376978,AT1G27000,+,terminator,1921,2171,0
bHLH_1:9376729-9376978,AT1G27008,-,terminator,1828,2078,296
bHLH_1:9037897-9038146,AT1G26140,-,terminator,2580,2830,167
bHLH_1:1385303-1385552,AT1G04297,-,terminator,1944,2194,345
bHLH_1:24040149-24040398,AT1G64700,-,promoter,1237,1466,69
bHLH_1:24040149-24040398,AT1G64700,-,terminator,1555,1576,69
bHLH_1:24040149-24040398,AT1G64690,+,terminator,2992,3020,0
bHLH_1:22341210-22341459,AT1G60660,-,terminator,2849,3020,20
bHLH_1:28370657-28370906,AT1G75550,-,promoter,154,404,0
bHLH_1:28370657-28370906,AT1G75560,-,terminator,2253,2503,0
bHLH_1:26045463-26045712,AT1G69280,-,terminator,1520,1714,0
bHLH_1:19607667-19607916,AT1G52640,-,terminator,2811,3020,0
bHLH_1:7475908-7476157,AT1G21340,+,promoter,887,1137,122
bHLH_1:7475908-7476157,AT1G21350,-,terminator,2763,3013,0
bHLH_1:536822-537071,AT1G02560,+,promoter,83,333,0
bHLH_1:536822-537071,AT1G02550,+,promoter,1340,1365,271
bHLH_1:536822-537071,AT1G02550,+,terminator,1656,1881,271
bHLH_1:355682-355931,AT1G02020,-,promoter,192,442,0
bHLH_1:27780961-27781210,AT1G73870,+,terminator,2172,2422,0
bHLH_1:27780961-27781210,AT1G73875,+,promoter,1107,1357,0
bHLH_1:4605180-4605429,AT1G13420,+,promoter,1493,1500,0
bHLH_1:2286728-2286977,AT1G07450,-,terminator,2967,3020,0
bHLH_1:26935493-26935742,AT1G71500,+,promoter,512,762,0
bHLH_1:26935493-26935742,AT1G71490,-,promoter,1082,1332,0
bHLH_1:1479453-1479702,AT1G05136,+,terminator,2410,2660,859
bHLH_1:6299514-6299763,AT1G18300,+,promoter,846,1096,0
bHLH_1:3627225-3627474,AT1G10880,-,promoter,607,857,0
bHLH_1:3627225-3627474,AT1G10890,+,promoter,580,830,0
bHLH_1:2338279-2338528,AT1G07600,-,terminator,2394,2644,582
bHLH_1:10935169-10935418,AT1G30795,+,promoter,486,736,287
bHLH_1:27837385-27837634,AT1G74020,-,promoter,808,1058,0
bHLH_1:5857934-5858183,AT1G17140,-,promoter,1366,1500,0
bHLH_1:5857934-5858183,AT1G05297,+,promoter,1000,1169,663
bHLH_1:5857934-5858183,AT1G05297,+,terminator,1852,1933,663
bHLH_1:5485601-5485850,AT1G15970,-,terminator,2441,2691,0
bHLH_1:5485601-5485850,AT1G15960,-,promoter,1254,1500,0
bHLH_1:7435761-7436010,AT1G21245,+,promoter,0,170,499
bHLH_1:20094539-20094788,AT1G07937,+,terminator,2842,3020,752
bHLH_1:1095777-1096026,AT1G04160,+,terminator,1520,1537,0
bHLH_1:1095777-1096026,AT1G04170,+,promoter,0,146,0
bHLH_1:394922-395171,AT1G02110,+,terminator,1520,1664,0
bHLH_1:394922-395171,AT1G02120,+,promoter,234,484,0
bHLH_1:29034341-29034590,AT1G77280,-,promoter,1231,1481,0
bHLH_1:10897320-10897569,AT1G30720,+,promoter,396,646,0
bHLH_1:10897320-10897569,AT1G30710,+,terminator,2213,2463,0
bHLH_1:23903123-23903372,AT1G64385,+,terminator,2862,3020,0
bHLH_1:12071771-12072020,AT1G33280,+,promoter,161,411,0
bHLH_1:23853726-23853975,AT1G08667,+,promoter,0,69,786
bHLH_1:2990360-2990609,AT1G09250,+,terminator,1953,2203,0
bHLH_1:2622171-2622420,AT1G08320,-,terminator,1520,1708,0
bHLH_1:2622171-2622420,AT1G08315,-,promoter,124,374,0
bHLH_1:2622171-2622420,AT1G04647,+,terminator,2645,2895,0
bHLH_1:239379-239628,AT1G01660,-,terminator,2231,2481,0
bHLH_1:20651380-20651629,AT1G55340,+,promoter,567,817,0
bHLH_1:27506086-27506335,AT1G73160,+,promoter,602,852,0
bHLH_1:27506086-27506335,AT1G73150,-,promoter,1070,1320,0
bHLH_1:18640234-18640483,AT1G50320,-,promoter,52,302,0
bHLH_1:18640234-18640483,AT1G50325,-,promoter,1004,1254,385
bHLH_1:18640234-18640483,AT1G07623,-,terminator,2358,2608,511
bHLH_1:26199799-26200048,AT1G69650,-,promoter,0,22,0
bHLH_1:26199799-26200048,AT1G69660,-,terminator,1593,1843,19
bHLH_1:29452538-29452787,AT1G78270,-,promoter,629,879,0
bHLH_1:29452538-29452787,AT1G78280,+,promoter,984,1234,0
bHLH_1:29452538-29452787,AT1G78265,+,terminator,2143,2393,0
bHLH_1:29322312-29322561,AT1G77992,+,promoter,902,1152,52
bHLH_1:24228136-24228385,AT1G65230,+,promoter,74,324,0
bHLH_1:24228136-24228385,AT1G08747,-,terminator,2891,3020,0
bHLH_1:22382548-22382797,AT1G60790,-,promoter,624,874,0
bHLH_1:22382548-22382797,AT1G60800,-,terminator,2614,2864,0
bHLH_1:22065053-22065302,AT1G59940,-,terminator,2333,2583,0
bHLH_1:3140802-3141051,AT1G09700,-,promoter,301,551,0
bHLH_1:3140802-3141051,AT1G09710,+,promoter,941,1191,0
bHLH_1:12378359-12378608,AT1G34042,-,terminator,2837,3020,723
bHLH_1:4658851-4659100,AT1G13605,+,terminator,1756,2006,422
bHLH_1:20463176-20463425,AT1G54890,+,promoter,1237,1487,0
bHLH_1:28147673-28147922,AT1G74950,-,terminator,2670,2920,0
bHLH_1:28147673-28147922,AT1G74940,+,terminator,2208,2458,0
bHLH_1:12036125-12036374,AT1G06663,-,terminator,2914,3020,616
bHLH_1:12036125-12036374,AT1G06657,+,promoter,0,212,722
bHLH_1:12036125-12036374,AT1G06653,+,terminator,3010,3020,911
bHLH_1:24658307-24658556,AT1G66200,-,promoter,146,396,0
bHLH_1:22312060-22312309,AT1G60570,+,promoter,1225,1475,0
bHLH_1:22312060-22312309,AT1G60560,-,promoter,67,317,0
bHLH_1:7132970-7133219,AT1G20590,-,promoter,245,495,0
bHLH_1:7132970-7133219,AT1G20600,+,promoter,860,1110,0
bHLH_1:18730546-18730795,AT1G50580,+,promoter,788,1038,0
bHLH_1:18730546-18730795,AT1G50575,-,promoter,702,952,0
bHLH_1:27191160-27191409,AT1G72240,+,terminator,2426,2676,281
bHLH_1:1761393-1761642,AT1G05830,+,terminator,1520,1754,0
bHLH_1:1761393-1761642,AT1G05835,+,promoter,249,499,330
bHLH_1:1761393-1761642,AT1G04433,-,terminator,2739,2989,669
bHLH_1:149982-150231,AT1G01400,-,terminator,2476,2726,0
bHLH_1:149982-150231,AT1G01390,-,promoter,616,866,0
bHLH_1:26909587-26909836,AT1G71390,+,terminator,2632,2882,0
bHLH_1:26909587-26909836,AT1G71400,+,promoter,796,1046,0
bHLH_1:9389495-9389744,AT1G27040,-,promoter,1297,1500,0
bHLH_1:26919730-26919979,AT1G71430,+,promoter,291,541,287
bHLH_1:26919730-26919979,AT1G71420,-,promoter,1119,1369,0
bHLH_1:26919730-26919979,AT1G09247,-,terminator,2451,2701,690
bHLH_1:2589229-2589478,AT1G08260,+,promoter,1376,1500,0
bHLH_1:2589229-2589478,AT1G08250,-,terminator,1520,1566,0
bHLH_1:2589229-2589478,AT1G08240,+,terminator,2653,2903,928
bHLH_1:16681339-16681588,AT1G43970,+,promoter,1071,1321,0
bHLH_1:4266746-4266995,AT1G12520,-,terminator,2097,2347,0
bHLH_1:4266746-4266995,AT1G12510,-,terminator,2011,2261,926
bHLH_1:27852169-27852418,AT1G74060,-,promoter,18,268,0
bHLH_1:18899972-18900221,AT1G50980,-,terminator,2338,2588,0
bHLH_1:18899972-18900221,AT1G50970,+,terminator,1623,1873,0
bHLH_1:8532133-8532382,AT1G24120,-,promoter,879,1129,0
bHLH_1:22445916-22446165,AT1G60950,+,terminator,2645,2895,15
bHLH_1:22945622-22945871,AT1G62080,-,terminator,2389,2639,292
bHLH_1:19781926-19782175,AT1G53080,+,terminator,1594,1844,0
bHLH_1:21241938-21242187,AT1G56660,+,terminator,2944,3020,0
bHLH_1:21241938-21242187,AT1G56670,+,promoter,1360,1500,0
bHLH_1:27931365-27931614,AT1G74290,+,promoter,530,780,0
bHLH_1:27931365-27931614,AT1G74280,+,terminator,2021,2271,0
bHLH_1:5048107-5048356,AT1G14687,+,promoter,1326,1486,28
bHLH_1:5048107-5048356,AT1G14687,+,terminator,1534,1624,28
bHLH_1:771306-771555,AT1G03170,+,terminator,2642,2892,0
bHLH_1:30285880-30286129,AT1G80555,+,promoter,0,175,214
bHLH_1:25441572-25441821,AT1G67850,+,terminator,1520,1621,0
bHLH_1:25441572-25441821,AT1G67856,+,promoter,169,419,0
bHLH_1:25441572-25441821,AT1G67855,-,terminator,2453,2703,379
bHLH_1:28441697-28441946,AT1G75750,-,terminator,1573,1823,65
bHLH_1:28441697-28441946,AT1G75740,+,terminator,2757,3007,928
bHLH_1:29975496-29975745,AT1G79670,-,terminator,2998,3020,0
bHLH_1:29975496-29975745,AT1G79660,+,promoter,830,1080,0
bHLH_1:29975496-29975745,AT1G79650,-,promoter,613,863,0
bHLH_1:29975496-29975745,AT1G09897,-,terminator,2201,2451,609
bHLH_1:27169983-27170232,AT1G72200,-,terminator,1545,1795,0
bHLH_1:27169983-27170232,AT1G72190,-,promoter,521,771,0
bHLH_1:21030606-21030855,AT1G56200,+,promoter,820,1070,0
bHLH_1:21030606-21030855,AT1G56190,+,terminator,1942,2192,0
bHLH_1:29677217-29677466,AT1G78930,-,terminator,2456,2706,0
bHLH_1:29677217-29677466,AT1G78922,-,promoter,1348,1500,0
bHLH_1:29677217-29677466,AT1G78922,-,terminator,1520,1557,0
bHLH_1:29677217-29677466,AT1G78920,+,terminator,1700,1950,0
bHLH_1:12207126-12207375,AT1G33700,-,terminator,2951,3020,0
bHLH_1:26908247-26908496,AT1G71390,+,terminator,1520,1542,0
bHLH_1:485682-485931,AT1G02400,+,promoter,0,133,0
bHLH_1:238359-238608,AT1G01650,-,promoter,296,546,0
bHLH_1:27227816-27228065,AT1G72320,-,terminator,2012,2262,0
bHLH_1:27227816-27228065,AT1G72310,+,terminator,2291,2541,0
bHLH_1:8460567-8460816,AT1G23935,+,promoter,0,61,0
bHLH_1:1637855-1638104,AT1G05530,-,promoter,809,1059,0
bHLH_1:5124274-5124523,AT1G14850,-,promoter,35,285,0
bHLH_1:5124274-5124523,AT1G14860,+,promoter,605,855,0
bHLH_1:25839163-25839412,AT1G68790,-,promoter,1128,1378,0
bHLH_1:11252788-11253037,AT1G31430,-,terminator,2893,3020,0
bHLH_1:27603848-27604097,AT1G73430,+,promoter,1194,1444,0
bHLH_1:27603848-27604097,AT1G73410,+,terminator,2551,2801,0
bHLH_1:7344608-7344857,AT1G05617,+,promoter,862,1112,618
bHLH_1:3295308-3295557,AT1G10095,-,terminator,2977,3020,0
bHLH_1:29516133-29516382,AT1G78450,-,terminator,2625,2875,0
bHLH_1:8983665-8983914,AT1G25560,-,promoter,399,649,0
bHLH_1:394575-394824,AT1G02120,+,promoter,0,137,0
bHLH_1:10030927-10031176,AT1G28530,-,terminator,2827,3020,0
bHLH_1:29136104-29136353,AT1G77530,+,promoter,1201,1451,0
bHLH_1:12807752-12808001,AT1G35030,+,promoter,507,757,0
bHLH_1:12807752-12808001,AT1G34930,-,promoter,397,647,721
bHLH_1:20524660-20524909,AT1G55020,+,promoter,7,257,0
bHLH_1:29740844-29741093,AT1G79050,-,promoter,85,335,0
bHLH_1:29740844-29741093,AT1G79060,+,promoter,117,367,0
bHLH_1:29740844-29741093,AT1G09843,+,terminator,2792,3020,819
bHLH_1:24942374-24942623,AT1G66860,+,promoter,1187,1437,0
bHLH_1:15968889-15969138,AT1G42525,+,terminator,2670,2920,0
bHLH_1:665223-665472,AT1G02950,-,terminator,1665,1915,0
bHLH_1:665223-665472,AT1G02940,-,promoter,0,67,0
bHLH_1:665223-665472,AT1G02952,+,promoter,870,1120,0
bHLH_1:26554281-26554530,AT1G70450,+,terminator,1742,1992,0
bHLH_1:23408110-23408359,AT1G63120,-,terminator,2463,2713,0
bHLH_1:23408110-23408359,AT1G63110,+,terminator,2011,2261,0
bHLH_1:20386055-20386304,AT1G54575,+,promoter,247,497,98
bHLH_1:20386055-20386304,AT1G54570,-,promoter,75,325,0
bHLH_1:18662894-18663143,AT1G50370,+,terminator,2862,3020,0
bHLH_1:254543-254792,AT1G01695,+,terminator,2033,2283,0
bHLH_1:254543-254792,AT1G04033,+,promoter,522,772,637
bHLH_1:6129774-6130023,AT1G17810,+,promoter,750,1000,0
bHLH_1:6129774-6130023,AT1G17800,+,terminator,2286,2536,314
bHLH_1:28463552-28463801,AT1G75820,-,terminator,1561,1811,0
bHLH_1:21336942-21337191,AT1G57610,-,terminator,1952,2202,0
bHLH_1:920174-920423,AT1G03687,+,terminator,1602,1852,0
bHLH_1:920174-920423,AT1G03700,+,promoter,225,475,0
bHLH_1:1575851-1576100,AT1G05380,+,promoter,30,280,0
bHLH_1:10077520-10077769,AT1G28680,+,promoter,332,582,0
bHLH_1:10077520-10077769,AT1G28685,-,terminator,2172,2422,0
bHLH_1:1104306-1104555,AT1G04180,+,promoter,814,1064,0
bHLH_1:9439779-9440028,AT1G27170,+,terminator,2382,2632,0
bHLH_1:9439779-9440028,AT1G27180,+,promoter,1127,1377,0
bHLH_1:2214797-2215046,AT1G07210,+,promoter,582,832,0
bHLH_1:26541376-26541625,AT1G70420,-,promoter,192,442,0
bHLH_1:26541376-26541625,AT1G09173,-,terminator,2715,2965,646
bHLH_1:26541376-26541625,AT1G09177,+,promoter,0,233,751
bHLH_1:2681349-2681598,AT1G08470,-,terminator,2478,2728,0
bHLH_1:11371022-11371271,AT1G31750,-,terminator,1520,1582,0
bHLH_1:710645-710894,AT1G03050,+,terminator,2624,2874,0
bHLH_1:12104963-12105212,AT1G33390,-,promoter,467,717,0
bHLH_1:12104963-12105212,AT1G33400,-,terminator,1520,1764,0
bHLH_1:7930532-7930781,AT1G22460,-,promoter,875,1125,0
bHLH_1:7930532-7930781,AT1G05747,-,terminator,2866,3020,572
bHLH_1:5082468-5082717,AT1G14750,-,promoter,818,1068,0
bHLH_1:5082468-5082717,AT1G14755,+,promoter,0,43,333
bHLH_1:26465191-26465440,AT1G70280,-,terminator,2382,2632,0
bHLH_1:26465191-26465440,AT1G70270,+,terminator,2292,2542,306
bHLH_1:17384880-17385129,AT1G47400,+,promoter,174,424,221
bHLH_1:5319512-5319761,AT1G15490,-,terminator,2872,3020,0
bHLH_1:13113781-13114030,AT1G35550,+,terminator,2665,2915,369
bHLH_1:13113781-13114030,AT1G35545,-,promoter,0,51,0
bHLH_1:20262195-20262444,AT1G54270,+,terminator,1949,2199,0
bHLH_1:20262195-20262444,AT1G54280,-,terminator,2042,2292,0
bHLH_1:19354507-19354756,AT1G52050,-,terminator,2181,2431,0
bHLH_1:19354507-19354756,AT1G07777,+,promoter,986,1170,660
bHLH_1:19354507-19354756,AT1G07777,+,terminator,1850,1916,660
bHLH_1:24010023-24010272,AT1G64620,+,terminator,2628,2878,0
bHLH_1:24010023-24010272,AT1G08717,-,promoter,570,820,735
bHLH_1:5151631-5151880,AT1G14930,-,terminator,2401,2651,158
bHLH_1:5151631-5151880,AT1G14920,+,terminator,2236,2486,0
bHLH_1:25787076-25787325,AT1G68690,+,promoter,0,22,0
bHLH_1:25787076-25787325,AT1G68680,+,terminator,1754,2004,0
bHLH_1:25787076-25787325,AT1G09007,-,terminator,1885,2135,580
