condition,id,GC,length,n_experiments,min_bc,min_ci,min_co,enrichment
Dark,1:17510377-17510626_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.2,170,2,21,943,1800,0.9599854654285271
Dark,1:17510377-17510626_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.205882,170,2,12,383,748,0.9000835892173088
Dark,1:20311467-20311716_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.323529,170,2,4,73,100,0.488276650400565
Dark,1:20311467-20311716_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.329412,170,2,5,128,266,0.9952519970314323
Dark,1:20311508-20311757_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.323529,170,2,3,174,318,1.1208573230176573
Dark,1:20311508-20311757_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.329412,170,2,4,117,311,1.5443537523220772
Dark,1:20311588-20311837_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.335294,170,2,3,68,162,0.8570983979172387
Dark,1:20311588-20311837_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.341176,170,2,3,92,228,1.2074098183285793
Dark,1:2176846-2177095_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.3,170,2,22,712,823,0.07767435156856363
Dark,1:2176846-2177095_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.3,170,2,16,774,879,0.2806734989357151
Dark,1:22741487-22741736_(?)_Athal_WRKYc1-5_dCIS-ctrl.0,0.364706,170,2,2,162,218,0.446776475327272
Dark,1:22741487-22741736_(?)_Athal_WRKYc1-5_dCIS-var.0,0.370588,170,2,3,146,157,0.2649783862580501
Dark,1:24118553-24118802_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.405882,170,2,5,196,315,0.9485228859518029
Dark,1:24118553-24118802_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.405882,170,2,14,473,543,0.18508939850300898
Dark,1:24512509-24512758_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.382353,170,2,5,232,179,-0.5290701122699606
Dark,1:24512509-24512758_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.382353,170,2,4,201,69,-1.6276825059426412
Dark,1:24722749-24722998_(?)_Athal_MYBc1-5_dCIS-ctrl.0,0.317647,170,2,5,165,159,0.053454889285134116
Dark,1:24722749-24722998_(?)_Athal_MYBc1-5_dCIS-var.0,0.323529,170,2,4,408,317,-0.26911383466063726
Dark,1:24722891-24723140_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.376471,170,2,15,499,1165,1.1942888005252543
Dark,1:24722891-24723140_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.382353,170,2,5,237,442,0.8507096134276169
Dark,1:24773593-24773842_(?)_Athal_WRKYc1-5_dCIS-ctrl.0,0.276471,170,1,1,20,19,0.016926772280620894
Dark,1:24773593-24773842_(?)_Athal_WRKYc1-5_dCIS-var.0,0.270588,170,2,4,100,54,-0.482055646275273
Dark,1:24773645-24773894_(?)_Athal_WRKYc1-5_dCIS-ctrl.0,0.3,170,2,5,88,177,1.0919875225067366
Dark,1:24773645-24773894_(?)_Athal_WRKYc1-5_dCIS-var.0,0.294118,170,2,3,90,107,0.39877727224018766
Dark,1:27603230-27603479_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.217647,170,2,11,397,758,1.080798495879558
Dark,1:27603230-27603479_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.211765,170,2,6,123,338,1.2726161580452144
Dark,1:27603294-27603543_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.270588,170,2,4,86,252,1.4308729312258501
Dark,1:27603294-27603543_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.264706,170,2,3,72,196,1.2409398427045384
Dark,1:27977631-27977880_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.270588,170,2,8,325,994,1.744370606228977
Dark,1:27977631-27977880_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.264706,170,2,10,481,1725,1.8345045281157666
Dark,1:27977701-27977950_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.294118,170,2,10,133,362,1.2397315311506956
Dark,1:27977701-27977950_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.288235,170,2,14,224,398,1.0423990022622758
Dark,1:28683586-28683835_iur(-)_Athal_bZIPc1-5_dCIS-ctrl.0,0.452941,170,2,8,330,123,-1.4046239138349228
Dark,1:28683586-28683835_iur(-)_Athal_bZIPc1-5_dCIS-var.0,0.447059,170,2,13,664,257,-1.2895937225814542
Dark,1:29428279-29428528_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.335294,170,2,8,211,1054,2.223290523062833
Dark,1:29428279-29428528_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.341176,170,2,8,180,1009,2.4687262978203615
Dark,1:29428371-29428620_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.252941,170,2,1,8,21,1.3769925408289336
Dark,1:29428451-29428700_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.241176,170,2,6,128,239,0.9420114218030627
Dark,1:29428451-29428700_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.247059,170,2,3,115,268,1.0639031609527376
Dark,1:29428503-29428752_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.264706,170,2,7,218,382,0.9285048101536378
Dark,1:29428503-29428752_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.270588,170,2,13,425,853,0.9859264808398601
Dark,1:29428589-29428838_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.264706,170,2,7,275,461,0.8166145875661615
Dark,1:29428589-29428838_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.270588,170,2,6,177,340,0.9879112953411326
Dark,1:29463499-29463748_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.317647,170,2,14,340,518,0.5897970522348693
Dark,1:29463499-29463748_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.311765,170,2,10,407,534,0.444287947462139
Dark,1:30320214-30320463_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.376471,170,2,8,267,496,0.8500005336315826
Dark,1:30320214-30320463_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.382353,170,2,9,371,375,0.04258873817212537
Dark,1:30320262-30320511_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.323529,170,2,13,375,851,1.1513044753308006
Dark,1:30320262-30320511_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.329412,170,2,10,335,734,0.9621627371448807
Dark,1:30320607-30320856_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.329412,170,2,1,14,24,0.8541480971973968
Dark,1:30320607-30320856_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.329412,170,2,4,179,199,0.12144004141064058
Dark,1:30320653-30320902_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.394118,170,2,7,142,282,0.947711834024234
Dark,1:30320653-30320902_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.394118,170,2,33,1400,2270,0.7248859919797879
Dark,1:30320695-30320944_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.405882,170,2,5,172,154,-0.22801766268112197
Dark,1:3201165-3201414_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.305882,170,2,6,94,91,-0.15378187936982668
Dark,1:3201165-3201414_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.3,170,2,5,91,74,-0.2425551201933409
Dark,1:3201212-3201461_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.4,170,2,6,197,244,0.30234190993038546
Dark,1:3201212-3201461_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.394118,170,2,19,969,950,-0.09630902075681133
Dark,1:3201293-3201542_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.376471,170,2,13,432,863,1.0660077433435189
Dark,1:3201293-3201542_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.370588,170,2,12,317,935,1.3569553696396204
Dark,1:3230742-3230991_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.352941,170,2,1,46,93,0.8881802346699739
Dark,1:3230742-3230991_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.358824,170,2,9,237,362,0.7076442663825019
Dark,1:3230797-3231046_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.294118,170,2,4,165,308,0.7231764577060765
Dark,1:3230797-3231046_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.3,170,2,25,1033,1639,0.6746881514786952
Dark,1:3423040-3423289_(?)_Athal_MYBc1-5_dCIS-ctrl.0,0.288235,170,2,8,359,301,-0.08358753914662415
Dark,1:3423040-3423289_(?)_Athal_MYBc1-5_dCIS-var.0,0.288235,170,2,11,391,604,0.6662659195753218
Dark,1:3423090-3423339_(?)_Athal_MYBc1-5_dCIS-ctrl.0,0.282353,170,2,11,289,476,0.7309114290225919
Dark,1:3423090-3423339_(?)_Athal_MYBc1-5_dCIS-var.0,0.282353,170,2,7,198,404,0.89046811693065675
Dark,1:3423155-3423404_(?)_Athal_MYBc1-5_dCIS-ctrl.0,0.305882,170,2,8,186,201,0.02254022821109472
Dark,1:3423155-3423404_(?)_Athal_MYBc1-5_dCIS-var.0,0.305882,170,2,10,345,325,-0.14809769444474855
Dark,1:3473053-3473302_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.294118,170,2,8,281,375,0.655203913143924
Dark,1:3473053-3473302_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.294118,170,2,17,751,676,0.051879091134231156
Dark,1:3473159-3473408_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.282353,170,2,8,309,295,-0.14158996819608075
Dark,1:3473159-3473408_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.282353,170,2,5,250,201,-0.21538495719827863
Dark,1:3473208-3473457_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.264706,170,2,8,237,239,0.24888996761852492
Dark,1:3473208-3473457_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.264706,170,2,4,77,72,0.07326513442695423
Dark,1:3894002-3894251_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.470588,170,2,18,607,462,-0.44151809079819593
Dark,1:3894002-3894251_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.470588,170,2,8,424,342,-0.19687170626506653
Dark,1:3894071-3894320_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.464706,170,2,19,987,1556,0.6102380271451301
Dark,1:3894071-3894320_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.464706,170,2,20,994,1660,0.8426532529424622
Dark,1:3894132-3894381_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.458824,170,2,7,393,387,-0.06316305382819953
Dark,1:3894132-3894381_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.458824,170,2,14,645,597,0.06984660098039067
Dark,1:3897718-3897967_iur(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.205882,170,2,15,646,2315,1.7748684174870433
Dark,1:3897718-3897967_iur(+)_Athal_WRKYc1-5_dCIS-var.0,0.211765,170,2,7,261,713,1.5631222691451603
Dark,1:3904298-3904547_iur(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.288235,170,2,3,69,122,0.6673109922724816
Dark,1:3904298-3904547_iur(+)_Athal_WRKYc1-5_dCIS-var.0,0.282353,170,2,8,117,162,0.47237752061204086
Dark,1:3904365-3904614_iur(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.311765,170,2,11,392,727,0.7679565015727019
Dark,1:3904365-3904614_iur(+)_Athal_WRKYc1-5_dCIS-var.0,0.305882,170,2,5,225,462,1.076184209551325
Dark,1:4137789-4138038_igr(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.541176,170,2,6,244,104,-0.9611509467445757
Dark,1:4137789-4138038_igr(+)_Athal_bZIPc1-5_dCIS-var.0,0.535294,170,2,3,187,198,-0.015996300404536118
Dark,1:4137851-4138100_igr(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.535294,170,2,9,433,204,-1.2948296437195244
Dark,1:4137851-4138100_igr(+)_Athal_bZIPc1-5_dCIS-var.0,0.529412,170,2,9,325,130,-1.120295832661541
Dark,1:4140359-4140608_igr(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.376471,170,2,11,420,287,-0.779558139906804
Dark,1:4140359-4140608_igr(+)_Athal_MYBc1-5_dCIS-var.0,0.370588,170,2,9,341,200,-0.8014092638001005
Dark,1:4140404-4140653_igr(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.358824,170,2,9,422,208,-0.728703344695688
Dark,1:4140404-4140653_igr(+)_Athal_MYBc1-5_dCIS-var.0,0.352941,170,2,8,300,204,-0.674265512862157
Dark,1:4143411-4143660_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.435294,170,2,9,286,692,1.263759993120496
Dark,1:4143411-4143660_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.435294,170,2,15,411,656,0.6586445090285129
Dark,1:4143461-4143710_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.4,170,2,3,98,192,0.9596504189555304
Dark,1:4143461-4143710_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.4,170,2,2,52,77,0.29060585895326196
Dark,1:4958951-4959200_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.564706,170,2,15,611,346,-0.8819116185436294
Dark,1:4958951-4959200_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.570588,170,2,11,418,217,-1.1900301338763084
Dark,1:4959055-4959304_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.535294,170,2,20,934,1029,0.11896890287796184
Dark,1:4959055-4959304_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.541176,170,2,9,337,346,0.126920119435259
Dark,1:6660358-6660607_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.3,170,2,13,283,277,0.032224731214353985
Dark,1:6660358-6660607_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.3,170,2,2,27,73,1.1127240071997648
Dark,1:6660421-6660670_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.282353,170,2,8,205,150,-0.4891509277342316
Dark,1:6660421-6660670_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.282353,170,2,9,205,222,0.36402087898225155
Dark,1:7398222-7398471_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.258824,170,2,9,299,753,1.1703756985310154
Dark,1:7398222-7398471_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.264706,170,2,15,864,1288,0.7743110613725309
Dark,1:7398282-7398531_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.294118,170,2,7,203,740,1.7221264486506267
Dark,1:7398282-7398531_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.3,170,2,7,229,488,1.1250657957505987
Dark,1:7398326-7398575_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.3,170,2,7,351,431,0.5112001106816608
Dark,1:7398326-7398575_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.305882,170,2,10,566,647,0.1937606661022368
Dark,1:7412415-7412664_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.311765,170,2,6,411,216,-0.9837091930093839
Dark,1:7412415-7412664_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.317647,170,2,3,116,80,-0.5752852085427715
Dark,1:7412510-7412759_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.364706,170,2,1,21,15,-0.31988715764739983
Dark,1:7490334-7490583_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.476471,170,2,10,401,99,-2.032767045291678
Dark,1:7490334-7490583_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.470588,170,2,11,577,139,-1.7027388921079671
Dark,1:7490404-7490653_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.382353,170,2,16,648,855,0.5768023981956227
Dark,1:7490404-7490653_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.376471,170,2,13,419,658,0.5437330019134408
Dark,1:8200572-8200821_igr(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.411765,170,2,9,327,677,0.9803133849602581
Dark,1:8200572-8200821_igr(+)_Athal_WRKYc1-5_dCIS-var.0,0.417647,170,2,6,132,219,0.7931568937859945
Dark,1:8272735-8272984_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.217647,170,2,9,218,545,1.409988933311825
Dark,1:8272735-8272984_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.217647,170,2,15,452,1198,1.3816391048320873
Dark,1:8283125-8283374_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.405882,170,2,4,166,73,-0.7604063419668746
Dark,1:8283125-8283374_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.4,170,2,6,223,79,-1.316735105286957
Dark,1:8283169-8283418_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.388235,170,2,6,262,146,-0.7201669591028952
Dark,1:8283169-8283418_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.382353,170,2,2,96,26,-1.9385596003540049
Dark,1:924800-925049_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.376471,170,2,5,336,206,-0.5998254249958835
Dark,1:924800-925049_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.376471,170,2,9,355,162,-1.146613728582964
Dark,1:924853-925102_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.411765,170,2,19,912,801,-0.18227010916195047
Dark,1:924853-925102_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.411765,170,2,13,483,402,-0.3639032240276536
Dark,1:967250-967499_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.282353,170,2,8,255,418,0.7047993947586835
Dark,1:967250-967499_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.288235,170,2,4,77,131,0.7687859400943846
Dark,2:10444391-10444640_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.317647,170,2,11,392,1705,2.1854758356294406
Dark,2:10444391-10444640_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.323529,170,2,11,382,1622,1.965056253976727
Dark,2:10444518-10444767_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.370588,170,2,9,478,226,-0.8590103721452407
Dark,2:10444518-10444767_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.376471,170,2,8,260,185,-0.6416350294338036
Dark,2:10733137-10733386_iur(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.429412,170,2,12,398,251,-0.7146348854568526
Dark,2:10733137-10733386_iur(+)_Athal_bZIPc1-5_dCIS-var.0,0.435294,170,2,8,217,139,-0.6693720036824522
Dark,2:10733222-10733471_iur(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.282353,170,2,10,356,386,0.13510317022293045
Dark,2:10733222-10733471_iur(+)_Athal_bZIPc1-5_dCIS-var.0,0.288235,170,2,18,688,748,0.18663834461284903
Dark,2:10770166-10770415_iur(-)_Athal_bZIPc1-5_dCIS-ctrl.0,0.388235,170,2,14,317,603,0.9401430270662104
Dark,2:10770166-10770415_iur(-)_Athal_bZIPc1-5_dCIS-var.0,0.394118,170,2,7,131,293,1.0034931823801196
Dark,2:10774283-10774532_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.370588,170,2,4,202,257,0.24190768118157105
Dark,2:10774283-10774532_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.376471,170,2,1,18,28,0.7300606420237112
Dark,2:10774338-10774587_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.358824,170,1,1,5,7,0.5763541808946395
Dark,2:10774338-10774587_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.364706,170,2,1,5,6,1.2546124236464822
Dark,2:10796376-10796625_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.305882,170,2,6,255,355,0.5727345661054959
Dark,2:10796376-10796625_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.3,170,2,10,537,697,0.3481062519681889
Dark,2:10913485-10913734_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.288235,170,2,6,291,470,0.7692758657563065
Dark,2:10913485-10913734_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.282353,170,2,11,234,365,0.6482157071082006
Dark,2:10913551-10913800_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.394118,170,2,10,270,658,1.1980198797540802
Dark,2:10913551-10913800_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.388235,170,2,16,463,769,0.6266627368561009
Dark,2:10931378-10931627_iur(-)_Athal_bZIPc1-5_dCIS-ctrl.0,0.235294,170,2,13,633,479,-0.4574906513645977
Dark,2:10931378-10931627_iur(-)_Athal_bZIPc1-5_dCIS-var.0,0.235294,170,2,5,213,188,-8.201274455835184e-5
Dark,2:10932196-10932445_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.294118,170,2,8,415,478,0.09352765868591921
